Name,DOB,,Party,,,State Code,Active,Occupation,Us Start date,District
"Palmer, Gary J.",1990-01-01,M,Republican,1234534567,pal@gmail.com,01,1,Engineer,1990-01-01,06
"Sessions, Jeff",1990-01-02,M,Republican,1234534568,ses@gmail.com,01,1,Engineer,1990-01-02,00
"Shelby, Richard C.",1990-01-03,M,Republican,1234534569,she@gmail.com,01,1,Doctor,1991-01-03,00
"Roby, Martha",1990-01-04,F,Republican,1234534570,rob@gfail.cof,01,0,Construction Worker,2000-01-04,02
"Sewell, Terri A.",1990-01-05,F,Democratic,1234534571,sew@gfail.cof,01,0,Janitor,1990-01-05,07
"Aderholt, Robert B.",1990-01-06,M,Republican,1234534572,ade@gail.co,01,1,,1990-01-06,04
"Rogers, Mike D.",1990-01-07,M,Republican,1234534573,rog@gail.co,01,1,,1990-01-07,03
"Brooks, Mo",1990-01-08,M,Republican,1234534574,bro@gail.co,01,1,,1990-01-08,05
"Byrne, Bradley",1990-01-09,M,Republican,1234534575,byr@gail.co,01,1,,1990-01-09,01
"Murkowski, Lisa",1950-02-05,F,Republican,1234534576,mur@gfail.cof,02,1,Driver,1950-02-05,00
"Sullivan, Dan",1950-02-06,M,Republican,1234534577,sul@gmail.com,02,1,Cook,1950-02-06,00
"Young, Don",1950-02-07,M,Republican,1234534578,you@gmail.com,02,1,Server,1950-02-07,00
"Radewagen, Aumua Amata Coleman",1950-02-08,F,Republican,1234534579,rad@gail.co,60,1,,1950-02-08,00
"Gallego, Ruben",1970-04-15,M,Democratic,1234534580,gal@gmail.com,04,1,Host,1980-04-15,07
"Gosar, Paul A.",1970-04-16,M,Republican,1234534581,gos@gmail.com,04,1,Tailor,1970-04-16,04
"Grijalva, Raul M.",1970-04-17,M,Democratic,1234534582,gri@gmail.com,04,1,Burger Flipper,1970-04-17,03
"Franks, Trent",1970-04-18,M,Republican,1234534583,fra@gmail.com,04,1,Potato,1970-04-18,08
